a,b,m,s
4.836445489,0.911254532,2.528397276,0.493843815
9.80827561,2.626790182,2.464259439,0.369145621
79.94353351,28.67450024,-11.74724035,0.494366085
7.630825562,1.697619316,2.050201996,0.355256012
10.04319744,2.378076938,2.313332379,0.384171113
2.891386076,0.427461737,2.062673983,0.508110922
4.62875607,0.713724636,1.84078307,0.239071877
10.53605618,2.450750814,2.762217371,0.4549915
3.902608457,0.880026664,1.722054425,0.41951556
872.6036374,266.54251,-1.478369875,0.330162818
44.66972621,14.53286307,-8.813046198,0.426613066
6.49026639,1.172591203,2.048318442,0.374115739
4.343286432,0.943548504,2.433081294,0.540651133
5.558071927,1.18393638,1.736444336,0.417121774
3.581316591,0.677803463,1.55332603,0.434719687
2.09313825,0.365851921,1.401016845,0.376847399
8.411446387,1.83054468,1.890175868,0.333452137
